메뉴명,조리방법,요리종류,중량(1인분),열량,탄수화물,단백질,지방,나트륨,해쉬태그,이미지경로(소),이미지경로(대),재료정보,레시피
리코타소스 연어샐러드,기타,반찬,,280.7,11.3,19.3,17.5,120.7,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00590_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00590_1.png,"아보카도, 어린잎, 소금, 오이, 우유, 오렌지, 레몬, 토마토, 파인애플, 연어","1. 연어는 깍둑 썰기한다. 
2. 냄비에 우유를 넣고 은근히 끓이다가
레몬즙과 소금을 넣고 뭉글거리게
한다. 
3. 뭉글거리는 우유를 체에 걸러
리코타치즈를 만든다 
4. 토마토, 아보카도, 오이 및 파인애플은
주사위 모양으로 썬다. 
5. 어린잎은 찬물에 담궈 싱싱해지면
물에서 건져 놓는다 
6. 오렌지와 파인애플은 즙을 만들어
리코타치즈와 섞어 소스를 만들고,
연어와 야채를 담은 뒤 그 위에 소스를
올린다.              "
망고무스케이크와 마카롱,끓이기,후식,,487.3,56.7,7.7,25.5,133.2,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00591_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00591_1.png,"판젤라틴, 버터, 물엿, 설탕, 소금, 우유, 아몬드, 생크림, 망고퓨레, 레몬, 달걀","1. 아몬드는 곱게 갈아 체에 내려
준비한다. 
2. 달걀흰자로 머랭을 만들어 짤주머니로
짜준 후 20분 정도 말리고 오븐에
13분간 구워 마카롱을 만든다. 
3. 냄비에 설탕, 물엿, 소금을 넣고
끓인다. 
4. 달걀노른자, 설탕, 우유 및 생크림을
끓이다가 망고퓨레를 넣고 섞는다 
5. 판젤라틴은 물에 불려 중탕으로 녹여
4에 섞고, 차갑게 휘핑한 생크림을
넣는다. 
6. 5를 틀에 굳힌 후, 접시에 담고
마카롱으로 장식한다.              "
망고자몽드레싱 해산물전체,기타,반찬,,163.5,12.2,26.2,1.1,233.6,방울토마토,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00592_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00592_1.png,"단호박, 설탕, 망고, 자몽, 새우, 소금, 관자, 파슬리, 당근, 오이, 감자, 방울토마토, 생크림, 레몬, 브로콜리","1. 감자는 삶아 껍질을 벗긴다 
2. 새우와 관자는 끓는 물에 레몬즙을
넣고 삶아 건져 껍질을 벗긴다. 
3. 오이, 당근, 단호박은 껍질을 벗겨
슬라이스 썬다. 
4. 데친 관자는 토치로 한 번 더 익혀 썬다 
5. 믹서에 간 망고와 레몬에 설탕, 소금을
약간 넣고 소스를 만든다. 
6. 토마토는 먹기 좋은 크기로 자르고,
접시에 준비한 야채와 해산물을 담고,
소스는 먹기 직전에 올린다              "
머쉬룸 닭스테이크,굽기,일품,,196.8,12.5,24.2,5.5,152.5,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00593_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00593_1.png,"단호박, 미니, 버터, 소금, 새송이버섯, 후춧가루, 당근, 느타리버섯, 발사믹소스, 양배추, 닭고기, 올리브오일, 양파","1. 닭은 살만 발라낸다. 
2. 준비한 닭살에 소금, 후춧가루,
올리브오일을 발라 마리네이드 한다 
3. 양파와 버섯은 입자있게 다진다. 
4. 냄비에 버터를 넣고 녹인다. 
5. 녹인 버터에 다져 놓은 야채를 볶다가
발사믹소스를 넣고 바글바글 끓여
소스를 만든다. 
6. 팬에 버터와 기름을 넣고 중불에서
마리네이드한 닭살을 익혀 스테이크를
만들고, 미니양배추를 팬에 굴려가며
익혀 접시에 담은 뒤 소스를 올린다              "
미역소스와 타르타르,끓이기,일품,,202.3,16.1,13.1,9.5,306.6,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00594_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00594_1.png,"시금치, 새우, 새송이버섯, 관자, 마늘, 우유, 두유, 생크림, 블랙올리브, 레몬, 메추리알, 토마토, 미역","1. 미역은 찬물에 충분히 불린다. 
2. 새우는 껍질을 벗겨 관자 한 개와 다져
완자를 만든다. 
3. 나머지 관자 한 개는 썰어 팬에 굽는다 
4. 버섯, 토마토, 블랙올리브는 곱게
다진다. 
5. 시금치와 미역은 끓는 물에 데쳐 잘게
썬다. 
6. 마늘을 다져 우유와 함께 끓이다가
썰어 놓은 미역과 시금치, 새우완자를
넣고 한소끔 끓인다.              "
발사믹소스를 곁들인 오리스테이크,굽기,일품,,307.5,15.2,13.1,21.6,486.9,오리가슴살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00595_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00595_1.png,"오리고기, 아스파라거스, 표고버섯, 소금, 새송이버섯, 후추, 당근, 감자, 양파, 올리브오일, 토마토, 발사믹소스","1. 감자는 껍질을 벗겨 슬라이스로 썰어
찬물에 담궈 전분을 빼고 건져 물기를
제거한다. 
2. 토마토, 양파, 새송이버섯. 표고버섯은
입자있게 다지고, 당근은 샤또
모양으로 썰어 준비한다. 
3. 오리 가슴살은 소금, 후춧가루로
밑간을 한다. 
4. 팬에 올리브오일을 두르고
마리네이드한 오리 가슴살을 넣고 구워
기름이 빠지면 접시에 담는다. 
5. 오리 가슴살을 구운 팬에
아스파라거스, 당근, 감자를 구워
접시에 담는다. 
6. 냄비 또는 팬에 다진 야채를 넣고
볶다가 발사믹소스를 넣고 졸여 소스를
만들고, 접시에 담아 놓은 오리
스테이크에 올린다.              "
방울토마토를 곁들인 너비아니구이와 쌈밥,끓이기,밥,,407.1,25.2,49.6,12,349.6,방울토마토,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00596_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00596_1.png,"아스파라거스, 설탕, 깻잎, 양송이버섯, 당근, 감자, 사과, 소고기, 방울토마토, 마늘, 배, 저염간장, 참기름, 흑미, 브로콜리","1. 감자는 삶아 껍질을 벗긴다. 
2. 아스파라거스는 2등분 하고,
방울토마토와 함께 끓는 물에 살짝
데친다. 
3. 닭고기에 소금, 후추, 배즙을 넣고 숙성
시킨다. 
4. 저염간장에 다진 마늘, 설탕, 후춧가루,
참기름을 넣고 양념장을 만들어 3번에
묻혀 굽는다 
5. 흑미는 충분히 불려 밥을 짓는다 
6. 깻잎은 간장, 식초, 설탕에 절여
흑미밥과 너비아니 구이를 넣고 돌돌
말아 쌈밥을 만든다              "
배차와 주악,끓이기,후식,,246.8,56.5,3.1,0.9,122.3,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00597_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00597_1.png,"쌀가루, 계피, 막걸리, 설탕, 통후추, 식용꽃, 꿀, 배, 밀가루, 생강","1. 쌀가루와 밀가루를 섞어 체에 내린다. 
2. 냄비에 막걸리를 붓고 끓인다 
3. 끓인 막걸리를 체 친 쌀가루와
밀가루에 섞어 반죽을 만들고 치대어
숙성시킨다. 
4. 배는 1/8등분으로 썰어 양쪽모서리를
돌려 깎아 통후추를 꽂는다. 
5. 1을 넓게 펴서 주먹밥을 얹고 감싼다. 
6. 숙성시킨 반죽을 둥그렇게 빚어 팬에
굽고, 다 익으면 접시에 담은 뒤 꿀을
위에 올린다.              "
배추관자카나페,굽기,반찬,,104.7,14.1,9.9,0.9,217.5,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00598_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00598_1.png,"설탕, 소금, 파프리카, 관자, 고추장, 파슬리, 배춧잎, 레몬, 매실액","1. 배춧잎을 물에 담궈 싱싱하게 한다 
2. 레몬은 슬라이스로 썬다. 
3. 레몬, 고추장, 설탕 및 매실액을 넣고
양념장을 만든다. 
4. 파프리카는 작은 사각형 모양으로
자른다. 
5. 관자는 끓는 물에 소금을 넣고 데친다. 
6. 관자는 프라이팬에 구운 뒤 잘게 썰어
파프리카와 섞어 배춧잎에 올리고, 그
위에 파슬리와 만들어 놓은 양념장을
먹기 직전에 올린다.              "
버섯과 두부 비프웰링턴,굽기,일품,,451.6,64.4,23.3,11.2,95.6,안심,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00599_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00599_1.png,"단호박, 두부, 버터, 소금, 깻잎, 양송이버섯, 당근, 가지, 감자, 소고기, 마늘, 밀가루, 달걀, 양파","1. 밀가루에 버터, 달걀을 넣고 골고루
반죽한 뒤 비닐봉투에 넣고
숙성시킨다. 
2. 안심과 두부는 잘게 썬다 
3. 단호박은 씨를 제거하고 삶아 다진다 
4. 양파, 당근, 마늘은 곱게 다져 안심,
두부와 섞고 소금을 약간 넣는다. 
5. 야채를 섞은 안심과 두부는 다진
단호박을 섞어 깻잎으로 먼저 감싼다. 
6. 숙성된 반죽을 밀대로 밀어 5번을 감싼
뒤 오븐에 넣고 25분 정도 굽는다.              "
복분자소스를 곁들인 닭테린,굽기,반찬,,274.2,8.4,36.7,10.4,306.8,닭가슴살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00600_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00600_1.png,"치즈, 고구마, 복분자, 아스파라거스, 시금치, 전분, 소금, 새송이버섯, 후춧가루, 마늘, 닭고기, 브로콜리, 토마토","1. 닭가슴살은 곱게 다진다 
2. 시금치와 브로콜리는 끓는 물에 데쳐
찬물에 헹구고 토마토와 함께 입자있게
다져 다진 닭가슴살과 섞는다. 
3. 닭가슴살에 치즈를 섞는다. 
4. 고구마는 찜통에 넣고 쪄서 체에
내린다. 
5. 냄비에 물, 복분자, 고구마를 넣고
끓인다. 
6. 5번에 전분을 넣고 걸죽하게 소스를
완성하고, 아스파라거스와 버섯은
팬에 구워 쪄낸 닭테린 옆에 담은 뒤
소스를 올린다.              "
관자버터구이,굽기,반찬,,202.3,21.9,7.7,9.3,379.5,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00601_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00601_1.png,"비트, 버터, 시금치, 관자, 꿀, 오이피클, 고추피클, 마요네즈, 양파","1. 양파, 오이피클, 고추피클은 입자있게
다진다. 
2. 다진 양파와 피클에 마요네즈를 넣고
골고루 섞어 소스를 만든다. 
3. 마요네즈소스에 꿀을 넣고 섞는다 
4. 관자의 앞뒤에 버터를 바른다. 
5. 관자에는 버터를 발라 팬에 구워
접시에 담는다. 
6. 비트, 양파, 데친 시금치를 넣고 갈아서
소스를 만들고 관자에 마요네즈소스와
시금치소스를 올린다              "
세 가지 미니 에피타이저,굽기,반찬,,230.2,18.7,20.7,8,168.8,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00602_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00602_1.png,"석류주스, 판젤라틴, 새우, 사과, 레몬, 연어, 애호박, 오렌지","1. 훈제 연어는 슬라이스로 썰어서
굽는다. 
2. 사과는 채썬다. 
3. 판젤라티은 찬물에 담궈 불린 후
중탕해서 녹인다. 
4. 석류주스를 끓인 뒤 중탕한 젤라틴을
넣고 굳혀 접시에 담는다. 
5. 애호박은 껍질을 벗겨 끓는 물에
소금을 넣고 살짝 데치고, 새우는 살짝
데쳐 껍질을 벗겨 포를 뜬 뒤 다시
굽는다. 
6. 석류주스 젤리가 담긴 접시에 새우와
애호박을 담고 소스를 올린 뒤 연어와
사과, 호박을 올려 담는다.              "
식혜양갱과 수박증편,끓이기,후식,,59.8,14.6,0.3,0,20.7,미숫가루,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00603_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00603_1.png,"막걸리, 버터, 설탕, 엿기름, 밥, 찹쌀가루, 백년초, 한천, 미숫가루, 대추, 밀가루, 잣","1. 엿기름은 물을 넣고 주물럭거린다 
2. 엿기름에 맑은 물이 생기면 채에
걸러내어 밥을 넣고 3시간 정도 발효를
시켜 밥알이 떠오르면 설탕을 넣고
끓인다. 
3. 한천은 물을 넣고 불린다 
4. 식혜에 불린 한천을 넣고 틀에 담아
굳힌다. 
5. 미숫가루에 밀가루, 버터, 설탕을 섞고
살짝 끓여 잼을 만든다. 
6. 찹쌀가루에 뜨거운 막걸리와 백년초를
넣고 익반죽 후 찜통에 쪄서
수박모양의 증편을 만들고 식혜, 양갱,
버터 잼과 함께 담는다.              "
호박잎다슬기된장국,끓이기,국&찌개,,86.7,6.2,9.5,5.9,577.2,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102116_1416273676261.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102116_1416273676261.jpg,,"1. 물 1컵 반에 국멸치와 건다시마를 넣고 멸치다시마국물 1컵을 낸다. 
2. 호박잎은 줄기를 꺾으며 잡아당겨 실 같은 껍질을 벗기고 씻는다. 
3. 멸치다시마국물 1컵에 된장을 풀고 씻은 다슬기살을 함께 넣어 중불에서 5분정도 국물을 우려낸다. 
4. 국물낸 다슬기는 건져 달걀물과 함께 섞는다. 
5. 부추는 1cm 가량의 크기로 썰고 대파는 어슷썰기 한다. 
6. 국물이 끓어 오르면 호박잎과 부추, 파, 다진 마늘을 넣고 마지막으로 달걀물을 입힌 다슬기를 살포시 넣는다.              "
양배추두부찜과 양파케첩소스,찌기,반찬,,165,14.1,10.7,7.2,478.8,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102117_1416273677432.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102117_1416273677432.jpg,,"1. 양배추는 씻어 잎을 넓게 뗀 후 7×12cm 가량의 크기로 자른다. 
2. 자른 양배추는 김이 오른 찜통에 5분 정도 찐다. 
3. 당근, 양파, 표고버섯은 곱게 다지고 두부는 으깨 면보에 짠다 
4. 다진 돼지고기에 파, 다진 마늘, 참기름, 설탕, 소금, 후춧가루를 넣고 양념을 한 후 2의 재료와 섞는다. 
5. 찐 양배추에 밀가루를 뿌리고 3의 재료를 놓고 돌돌 감아 찜통에 찐다. 
6. 소스는 다진 양파와 마늘을 먼저 볶아 향을 낸 후 토마토케첩, 간장, 매실액을 넣어 만든다.              "
수박비빔국수와 수박고추장소스,끓이기,일품,,468.7,88.7,17.5,6,298.9,수박속껍질,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102118_1416273678307.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102118_1416273678307.jpg,"국멸치, 호박잎, 건다시마 , 파, 다슬기살, 물, 다진 마늘, 된장, 달걀, 부추","1. 당근, 적채, 깻잎, 양배추는 씻어 4~5cm 가량으로 채 썬다. 
2. 수박의 과육과 흰부분의 껍질은 4~5cm 가량으로 채 썬다. 
3. 소면은 끓는 물에 넣고 끓어오르면 소량의 찬물을 붓고 다시 한 번 끓이고 속까지 익으면 재빨리 찬물에 헹구어 채반에 건진다. 
4. 달걀은 황백지단을 부쳐 채 썬다. 
5. 수박과 양파를 강판에 갈고 고추장, 고춧가루, 참기름, 다진 파, 다진 마늘, 식초, 매실액, 통깨를 넣어 수박고추장양념소스를 만든다. 
6. 소면에 수박고추장양념소스를 넣어 비비고 지단을 올린다.              "
미숫가루 부추전,굽기,반찬,,212.8,33,11.8,4.9,228.7,미숫가루,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102120_1416273680405.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102120_1416273680405.jpg,"부침가루, 감자, 미숫가루, 당근, 소금 , 물, 오징어, 현미유, 부추, 양파","1. 오징어는 내장을 제거하고 깨끗하고 씻어낸다. 
2. 부추, 감자, 당근, 양파는 2cm 가량으로 곱게 채 썬다. 
3. 부침가루와 미숫가루를 3 : 1의 비율로 섞는다. 
4.  1, 2, 3에 물을 넣어 반죽하고 소금으로 간을 한다. 
5. 팬에 현미유를 두르고 3의 반죽을 둥글게 떠 넣어 노릇노릇하게 지진다. 
6. 그릇에 담아 완성한다.              "
애호박장떡말이밥,굽기,밥,,400,82.8,9.3,4.5,447.6,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102121_1416273681545.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102121_1416273681545.jpg,"풋고추, 밥, 흑임자, 고추장, 물, 참기름, 소금 , 우리밀가루, 현미유 , 애호박, 양파","1. 양파는 갈고 애호박과 풋고추는 잘게 다진다. 
2. 물 1/2컵에 고추장을 풀고 우리밀가루를 넣어 골고루 섞는다. 
3. 1의 재료를 2에 넣어 반죽한다. 
4. 팬에 현미유를 두르고 3의 재료를 얇게 부친다. 
5. 밥에 참기름과 흑임자, 소금을 넣고 양념을 한다. 
6. 애호박장떡에 양념한 밥을 얇게 펴놓고 돌돌 말아 2~3cm 가량의 길이로 자른다.              "
봄나물주먹밥,볶기,밥,,295.8,57.9,6,3.9,240.3,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102124_1416273684105.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102124_1416273684105.jpg,"노랑파프리카, 통깨 , 빨강파프리카, 참기름, 소금 , 다진 마늘, 고사리, 쌀, 취나물","1. 쌀은 불린 후 밥을 짓는다. 
2. 고사리는 끓는 물에 삶고, 잘게 썬 파프리카는 고사리 삶는 물에 살짝 데친다. 
3. 고사리 삶는 중간에 취나물을 넣어 함께 데친다. 
4. 고사리와 취나물은 잘게 썬다 . 
5. 파프리카, 고사리, 취나물에 참기름, 마늘, 소금, 통깨를 넣고 양념을 한다. 
6. 밥에 참기름, 통깨, 소금을 넣어 양념한 후 4의 재료를 섞어 주먹밥을 만든다.              "
달래두부김치무침,굽기,반찬,,59,4.2,4.6,2.9,300.9,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102129_1416273689039.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102129_1416273689039.jpg,"두부, 설탕, 다진 마늘 , 통깨 , 다진 파 , 배추김치, 달래, 홍피망, 참기름, 고춧가루 , 소금 ","1. 두부는 5cm× 
1.5cm× 1cm 크기로 썬다. 
2. 썰어논 두부는 기름을 두르지 않고 팬에 노릇노릇 굽는다 . 
3. 달래는 2cm 가량의 크기로 썬다 . 
4. 배추김치는 물기를 적당히 짜고 2cm 가량으로 가늘게 채썬다 . 
5. 홍피망은 2cm 가량으로 가늘게 채썰고 3, 4와 파, 마늘, 설탕, 참기름, 통깨, 고춧가루, 소금을 넣고 조물조물 무친다. 
6. 두부위에 5의 김치달래무침을 곁들인다.              "
딸기소스닭가슴살채소무침,기타,반찬,,140.6,12.3,14.9,3.3,205.9,가슴살,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102130_1416273690444.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102130_1416273690444.jpg,"호상요구르트, 적채, 호두, 양상추, 딸기, 소금 , 방울토마토, 빨강 파프리카, 노랑 파프리카, 브로콜리, 닭가슴살","1. 닭가슴살을 삶는 뜨거운 물에 데친다. 
2. 닭가슴살 데친물에 브로콜리도 살짝 데친다. 
3. 닭가슴살은 고기결을 따라 잘게 찢는다. 
4. 양상추는 손으로 잘게 찢고 적채, 파프리카는 2cm가량으로 채 썰고 방울토마토는 반으로 자른다. 
5. 딸기를 강판에 갈아 호상요구르트와 호두, 소금을 넣어 드레싱을 만든다. 
6. 2, 3의 재료를 접시에 담아 딸기드레싱과 곁들인다.              "
쑥호두달걀말이,굽기,반찬,,105.2,1,6.8,7.9,165,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101930_1416273570778.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101930_1416273570778.jpg,"호두, 당근, 소금 , 현미유, 달걀, 쑥","1. 쑥을 잘게 썬다. 
2. 당근을 잘게 다진다. 
3. 호두를 칼로 부순다. 
4. 달걀을 그릇에 깨뜨려 넣고 소금을 넣어 섞은 후 1,2,3의 재료를 섞는다 . 
5. 달군 팬에 기름을 두르고 달걀물을 부어 반숙이 되면 말아서 두툼하게 만든 뒤 약한 불에서 아래, 위, 양옆으로 뒤집어가며 속까지 익힌다 . 
6. 한입 크기로 썰어 그릇에 담는다.              "
시래기리조또,끓이기,밥,,445.2,64.3,9,16.3,419.7,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101931_1416273571933.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101931_1416273571933.jpg,"무청시래기 불린 것, 버터, 다진 마늘 , 밥, 생크림, 된장, 포도씨유, 생강즙 ","1. 무청을 찬물에 담궈 잡냄새를 제거한다. 
2. 무청의 물기를 짠다. 
3.  물기를 뺀 무청은 적당한 크기로 송송 썰어준다. 
4. 무청에 된장, 다진 마늘, 생강즙을 넣어 조물조물 무친다. 
5. 팬에 포도씨유를 두르고 양념한 무청을 넣고 볶는다. 
6. 밥을 넣고 함께 볶다가 생크림과 버터를 넣고 맛이 어우러지도록 잠시 더 볶아 완성한다.              "
생과일과가자미까나페,찌기,후식,,305.1,34.2,9.8,14.3,354.3,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101933_1416273573588.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101933_1416273573588.jpg,"크래커, 가자미살, 식빵, 참다래, 딸기, 마요네즈, 양파","1. 가자미를 찜통에 찐다 . 
2. 양파를 곱게 다진다. 
3. 가자미살을 발라내고 양파 다진 것과 마요네즈와 섞는다. 
4. 딸기와 참다래는 먹기 좋은 크기로 자른다. 
5. 식빵은 동그란 틀로 찍는다. 
6. 식빵위에 2의 재료를 바르고 크래커를 올린 뒤 2의 재료를 다시 바르고 참다래를, 딸기를 올린다.              "
꽃게살국,끓이기,국&찌개,,114,5.3,14.2,3.9,579.9,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101934_1416273574399.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101934_1416273574399.jpg,"꽃게, 건다시마, 다진 마늘 , 파, 물, 양배추, 된장, 토마토","1. 꽃게는 손질하여 먹기 좋은 크기로 자른다. 
2. 물 1컵에 건다시마와 꽃게를 넣고 끓여 육수 ⅔컵을 만든다. 
3. 양배추와 토마토는 씻어 1cm×1cm 크기로 썬다. 
4. 파는 씻어 어슷썰기 한다. 
5. 육수 낸 꽃게는 건져 살을 발라낸다. 
6. 육수에 된장을 풀고 양배추와 토마토를 넣고 한소끔 끓인 후 발라놓은 꽃게 살과 파, 다진 마늘을 넣어 완성한다.              "
우엉들깨무침,기타,반찬,20,22.3,2.4,0.8,1.1,94.2,,http://www.foodsafetykorea.go.kr/uploadimg/20230307/20230307044205_1678174925034.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20230307/20230307044217_1678174937460.jpg,"들깻가루, 양념, 들기름, 파, 물, 간장, 다진마늘, 우엉, 필수재료","1. 우엉은 껍질을 벗긴다. 
2. 껍질을 벗긴 우엉은 4cm 길이로 가늘게 채 썬다. 
3. 냄비에 물과 우엉을 넣어 3~5분간 삶는다. 
4. 삶은 우엉을 체에 건진다. 
5. 파를 어슷 썬다. 
6. 삶은 우엉, 손질한 파, 양념 재료를 넣고 골고루 무쳐 마무리한다.              "
새우두부만두,찌기,반찬,,397.5,66.3,27.1,4.8,563.2,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101937_1416273577460.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101937_1416273577460.jpg,"간장 , 식초 , 두부, 표고버섯, 소금, 만두피, 칵테일 새우, 물, 고춧가루 , 후추 , 부추","1. 칼등으로 두부를 으깨 면보에 싸서 물기를 짜낸다. 
2. 새우, 부추, 표고버섯은 잘게 다진다. 
3. 두부에 다진 새우, 부추, 표고버섯, 소금, 후추를 넣어 소를 만든다. 
4. 만두피에 소를 10g씩을 올리고 새우 꼬리를 밖으로 나오게 넣고 오므린다. 
5. 찜기에 젖은 면보를 깔고 만두를 넣어 7분 간 찐다. 
6.  양념장과 함께 곁들여 낸다.              "
마마무스프,끓이기,일품,,72.9,8.3,1.8,3.6,91.4,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00455_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00455_1.png,"시금치, 무, 소금, 대파, 마, 우유, 생크림, 육수, 버터, 양파","1. 양파와 파는 다져 준비한다. 
2. 무는 채를 썰어 놓는다. 
3. 시금치는 끓는 물에 소금을 넣고 데쳐,
우유와 함께 갈아 준비한다. 
4. 마는 강판에 갈아 시금치 우유(③)에
섞는다. 
5. 다져 놓은 양파와 파는 냄비에 버터를
넣고 볶는다. 
6. 볶아지는 채소(⑤)에 무(②)와 육수를
붓고 끓여서 무가 익으면 충분히 식힌
뒤, 준비한 우유(④)와 함께 믹서에
갈고, 생크림을 올려 완성한다.              "
단호박리조또,끓이기,밥,,272.4,48.2,8,5.3,129.1,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00456_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00456_1.png,"단호박가루, 단호박, 곁들임, 버터, 설탕, 캐슈넛, 어린잎, 현미, 양송이버섯, 우유, 아몬드, 요거트, 생크림, 양파","1. 현미쌀은 깨끗이 씻어 약 30분 이상
충분히 불린다. 
2. 단호박은 껍질을 벗겨 먹기 좋게 썰어
불린 현미 쌀과 함께 밥을 짓는다. 
3. 양송이와 양파는 다져, 냄비에 볶다가
우유와 설탕, 호박가루를 넣는다. 
4. 끓고 있는 냄비에 단호박 현미밥(②)을
넣고 끓인다. 
5. 밥이 어느 정도 어우러지면, 생크림과
요거트를 섞어 한 번 더 젓는다. 
6. 만들어진 리조또(⑤) 위에 캐슈넛과
아몬드, 어린잎 채소를 올려 함께
완성한다.              "
토마토떡볶이,끓이기,반찬,,351,73.9,7.8,2.7,503.7,떡볶이떡,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00457_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00457_1.png,"떡볶이떡, 버터, 표고버섯, 올리고당, 고추장, 소스, 당근, 대파, 케첩, 사과, 양배추, 다진마늘, 육수, 어묵, 토마토, 양파","1. 떡볶이는 뜨거운 물에 담그어 놓는다. 
2. 토마토, 사과는 입자 있게 다진다. 
3. 떡볶이떡은 뜨거운 물에 담그어
놓는다. 
4. 고추장과 케첩, 올리고당, 다진 마늘을
골고루 섞는다. 
5. 냄비에 버터를 녹인 뒤 토마토와 사과
(②), 소스(④)를 넣고 볶아준다. 
6. 볶고 있는 소스(⑤)에 떡볶이 떡(①)과
썰어놓은 채소와 어묵(③)을 넣고,
육수를 부어 끓이다가 대파를 넣고
한 번 더 끓여 완성한다.              "
소고기채소볶음,볶기,반찬,,503,25.2,23.3,34.3,169,소등심,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00458_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00458_1.png,"포도주스, 브로컬리, 소고기등심, 올리고당, 소금, 파프리카, 후춧가루, 소스, 당근, 칠리소스, 식용유, 올리브오일, 토마토, 양파","1. 소고기는 깍뚝썰어 준비한다. 
2. 깍뚝썰은 소고기에 소금, 후추, 올리브
오일을 넣어 숙성시킨다. 
3. 브로컬리는 살짝 데쳐 썰고 ,양파,
당근, 토마토, 파프리카도 같은 크기로
썰어 준비한다. 
4. 포도주스에 올리고당과 칠리소스 넣어
은근히 졸여 소스를 만들어 놓는다. 
5. 팬에 식용유를 두르고 채소를 먼저
볶는다. 
6. 채소를 볶은 팬에 다시 숙성된 소고기를
익히고, 볶아놓은 채소를 넣고 소스를
넣어 살짝 더 졸여 완성한다.              "
